description,localAbbreviation,domain,isActive,sortOrder,englishName,frenchName
Sample in TIM Medium,TIM,O,Y,161,Sample in TIM Medium,Échantillon en Milieu TIM
Sample in Blood Culture Bottle,BC-BOT,H,Y,162,Sample in Blood Culture Bottle,Échantillon en Flacon d'Hémoculture
Sample in Other Transport Medium,OTH-TM,O,Y,163,Sample in Other Transport Medium,Échantillon en Autre Milieu de Transport
Sample in Peptone Water,PEPTONE,O,Y,164,Sample in Peptone Water,Échantillon en Eau Peptonée
Sample in Buffer,BUFFER,O,Y,165,Sample in Buffer,Échantillon en Tampon
Sample in TSB/BHI,TSB-BHI,O,Y,166,Sample in TSB/BHI,Échantillon en TSB/BHI
Sample in Other Enrichment Medium,OTH-EM,O,Y,167,Sample in Other Enrichment Medium,Échantillon en Autre Milieu d'Enrichissement
Quality Checked Bacteriology Sample,QC-BACT,O,Y,168,Quality Checked Bacteriology Sample,Échantillon Bactériologie Contrôlé Qualité
Failed Bacteriology QC Sample,FAIL-BACT,O,Y,169,Failed Bacteriology QC Sample,Échantillon Bactériologie QC Échoué
Bacteriology Temporary Storage Sample,TEMP-BACT,O,Y,170,Bacteriology Temporary Storage Sample,Échantillon Stockage Temporaire Bactériologie
Bacteriology Long-Term Storage Sample,LT-BACT,O,Y,171,Bacteriology Long-Term Storage Sample,Échantillon Stockage Long Terme Bactériologie
Bacteriology Shipment Sample,SHIP-BACT,O,Y,172,Bacteriology Shipment Sample,Échantillon Envoi Bactériologie
Culture Sample,CULTURE,O,Y,173,Culture Sample,Échantillon de Culture
Enriched Sample,ENRICH,O,Y,174,Enriched Sample,Échantillon Enrichi
Gram Stained Sample,GRAM-ST,O,Y,175,Gram Stained Sample,Échantillon Coloré Gram
Inoculated Sample,INOC,O,Y,176,Inoculated Sample,Échantillon Inoculé
Pure Culture Isolate,PURE-ISO,O,Y,177,Pure Culture Isolate,Isolat Culture Pure
Identified Isolate,IDENT-ISO,O,Y,178,Identified Isolate,Isolat Identifié
DST Tested Isolate,DST-ISO,O,Y,179,DST Tested Isolate,Isolat Testé DST
Bacteriology DNA Extract,BACT-DNA,O,Y,180,Bacteriology DNA Extract,Extrait ADN Bactériologie
Bacteriology RNA Extract,BACT-RNA,O,Y,181,Bacteriology RNA Extract,Extrait ARN Bactériologie
Isolate in STGG,STGG-ISO,O,Y,182,Isolate in STGG,Isolat en STGG
Sample in Tube,TUBE-S,O,Y,183,Sample in Tube,Échantillon en Tube
Sample in Vial,VIAL-S,O,Y,184,Sample in Vial,Échantillon en Flacon
Sample on Slide,SLIDE-S,O,Y,185,Sample on Slide,Échantillon sur Lame
Sample in Plate,PLATE-S,O,Y,186,Sample in Plate,Échantillon en Plaque
Bacteriology Retrieved Sample,RETR-BACT,O,Y,187,Bacteriology Retrieved Sample,Échantillon Récupéré Bactériologie
Bacteriology Disposal Sample,DISP-BACT,O,Y,188,Bacteriology Disposal Sample,Échantillon Élimination Bactériologie
Bacteriology Biorepository Sample,BIO-BACT,O,Y,189,Bacteriology Biorepository Sample,Échantillon Bioréférentiel Bactériologie
