description,localAbbreviation,domain,isActive,sortOrder,englishName,frenchName
CT Contaminated Sample,CT-CONT,H,Y,289,CT Contaminated Sample,Échantillon Contaminé Essai Clinique
CT Room Temperature Storage,CT-RT,H,Y,290,CT Room Temperature Storage,Stockage Température Ambiante Essai Clinique
CT Refrigerated Storage,CT-REF,H,Y,291,CT Refrigerated Storage,Stockage Réfrigéré Essai Clinique
CT Frozen Storage,CT-FRZ,H,Y,292,CT Frozen Storage,Stockage Congelé Essai Clinique
CT Aliquot 1,CT-ALQ1,H,Y,293,CT Aliquot 1,Aliquote 1 Essai Clinique
CT Aliquot 2,CT-ALQ2,H,Y,294,CT Aliquot 2,Aliquote 2 Essai Clinique
CT Processed Serum,CT-PROC-SER,H,Y,295,CT Processed Serum,Sérum Traité Essai Clinique
CT Processed Plasma,CT-PROC-PLS,H,Y,296,CT Processed Plasma,Plasma Traité Essai Clinique
CT Centrifuged Sample,CT-CENT,H,Y,297,CT Centrifuged Sample,Échantillon Centrifugé Essai Clinique
CT Thin Smear,CT-THIN,H,Y,298,CT Thin Smear,Frottis Mince Essai Clinique
CT Thick Smear,CT-THICK,H,Y,299,CT Thick Smear,Frottis Épais Essai Clinique
CT Wright Stained Smear,CT-WRT,H,Y,300,CT Wright Stained Smear,Frottis Coloré Wright Essai Clinique
CT Giemsa Stained Smear,CT-GMS,H,Y,301,CT Giemsa Stained Smear,Frottis Coloré Giemsa Essai Clinique
CT Gram Stained Smear,CT-GRAM,H,Y,302,CT Gram Stained Smear,Frottis Coloré Gram Essai Clinique
CT AFB Stained Smear,CT-AFB,H,Y,303,CT AFB Stained Smear,Frottis Coloré AFB Essai Clinique
CT Indian Ink Stained,CT-INK,H,Y,304,CT Indian Ink Stained,Coloré Encre de Chine Essai Clinique
CT KOH Preparation,CT-KOH,H,Y,305,CT KOH Preparation,Préparation KOH Essai Clinique
CT Urine Sediment,CT-USED,H,Y,306,CT Urine Sediment,Sédiment Urine Essai Clinique
CT Urine Wet Smear,CT-UWET,H,Y,307,CT Urine Wet Smear,Frottis Humide Urine Essai Clinique
CT Stool Wet Smear,CT-SWET,H,Y,308,CT Stool Wet Smear,Frottis Humide Selles Essai Clinique
CT Stool Concentrate,CT-SCONC,H,Y,309,CT Stool Concentrate,Concentré Selles Essai Clinique
CT Bioequivalence Sample,CT-BE,H,Y,310,CT Bioequivalence Sample,Échantillon Bioéquivalence Essai Clinique
CT Sample in Vial,CT-VIAL,H,Y,311,CT Sample in Vial,Échantillon en Flacon Essai Clinique
CT Sample in Tube,CT-TUBE,H,Y,312,CT Sample in Tube,Échantillon en Tube Essai Clinique
CT Sample in Plate,CT-PLATE,H,Y,313,CT Sample in Plate,Échantillon en Plaque Essai Clinique
CT Sample on Slide,CT-SLIDE,H,Y,314,CT Sample on Slide,Échantillon sur Lame Essai Clinique
CT Sample for Disposal,CT-DISP,H,Y,315,CT Sample for Disposal,Échantillon pour Élimination Essai Clinique
CT Archived Sample,CT-ARCH,H,Y,316,CT Archived Sample,Échantillon Archivé Essai Clinique
CT Biobanking Sample,CT-BIOB,H,Y,317,CT Biobanking Sample,Échantillon Biobanque Essai Clinique
CT Control Sample Normal,CT-CTRL-N,O,Y,318,CT Control Sample Normal,Échantillon Témoin Normal Essai Clinique
CT Control Sample Pathologic,CT-CTRL-P,O,Y,319,CT Control Sample Pathologic,Échantillon Témoin Pathologique Essai Clinique
CT Positive Control,CT-POS-C,O,Y,320,CT Positive Control,Témoin Positif Essai Clinique
CT Negative Control,CT-NEG-C,O,Y,321,CT Negative Control,Témoin Négatif Essai Clinique
